LECROYMCM-Zi-A 70631 Waveform
Segments 1 SegmentSize 40002
Segment TrigTime TimeSinceSegment1
#1 25-Jan-2024 10:03:40 0                 
Time Ampl
1.8465018e-007 -0.0727478
1.8466268e-007 -0.0161926
1.8467518e-007 0.0150452
1.8468768e-007 0.0336365
1.8470018e-007 0.042981
1.8471268e-007 0.0669922
1.8472518e-007 0.0631409
1.8473768e-007 0.055658
1.8475018e-007 0.0362854
1.8476268e-007 0.0425781
1.8477518e-007 -0.00842285
1.8478768e-007 -0.131989
1.8480018e-007 -0.124432
1.8481268e-007 -0.046051
1.8482518e-007 -0.0430359
1.8483768e-007 -0.0555115
1.8485018e-007 -0.0374939
1.8486268e-007 -0.00672607
1.8487518e-007 0.0103821
1.8488768e-007 0.0124329
1.8490018e-007 0.014801
1.8491268e-007 0.0171631
1.8492518e-007 0.0151001
1.8493768e-007 0.0109131
1.8495018e-007 0.00916138
1.8496268e-007 0.00820313
1.8497518e-007 0.00864868
1.8498768e-007 0.00913696
1.8500018e-007 0.0081665
1.8501268e-007 0.00720825
1.8502518e-007 0.00852051
1.8503768e-007 0.00876465
1.8505018e-007 0.00912476
1.8506268e-007 0.011554
1.8507518e-007 0.010083
1.8508768e-007 0.00803833
1.8510018e-007 0.0100342
1.8511268e-007 0.00992432
1.8512518e-007 0.0119751
1.8513768e-007 0.0131897
1.8515018e-007 0.0120789
1.8516268e-007 0.0121826
1.8517518e-007 0.00858154
1.8518768e-007 0.0102234
1.8520018e-007 0.0125488
1.8521268e-007 0.011438
1.8522518e-007 0.0105286
1.8523768e-007 0.0121887
1.8525018e-007 0.011853
1.8526268e-007 0.0115295
1.8527518e-007 0.0144043
1.8528768e-007 0.0146606
1.8530018e-007 0.0118286
1.8531268e-007 0.0154419
1.8532518e-007 0.0227966
1.8533768e-007 0.0264221
1.8535018e-007 0.0414856
1.8536268e-007 0.0556946
1.8537518e-007 0.0417847
1.8538768e-007 -0.00869751
1.8540018e-007 -0.0261597
